,gene_id,gene_name,Type
PEX10,ENSG00000157911,PEX10,Gene Expression
PANK4,ENSG00000157881,PANK4,Gene Expression
ENSG00000272449,ENSG00000272449,ENSG00000272449,Gene Expression
TNFRSF14-AS1,ENSG00000238164,TNFRSF14-AS1,Gene Expression
TNFRSF14,ENSG00000157873,TNFRSF14,Gene Expression
PRXL2B,ENSG00000157870,PRXL2B,Gene Expression
ARHGEF16,ENSG00000130762,ARHGEF16,Gene Expression
MEGF6,ENSG00000162591,MEGF6,Gene Expression
TPRG1L,ENSG00000158109,TPRG1L,Gene Expression
WRAP73,ENSG00000116213,WRAP73,Gene Expression
TP73,ENSG00000078900,TP73,Gene Expression
SMIM1,ENSG00000235169,SMIM1,Gene Expression
LRRC47,ENSG00000130764,LRRC47,Gene Expression
CEP104,ENSG00000116198,CEP104,Gene Expression
DFFB,ENSG00000169598,DFFB,Gene Expression
C1orf174,ENSG00000198912,C1orf174,Gene Expression
LINC01134,ENSG00000236423,LINC01134,Gene Expression
LINC02780,ENSG00000284668,LINC02780,Gene Expression
NPHP4,ENSG00000131697,NPHP4,Gene Expression
KCNAB2,ENSG00000069424,KCNAB2,Gene Expression
RPL22,ENSG00000116251,RPL22,Gene Expression
RNF207-AS1,ENSG00000226944,RNF207-AS1,Gene Expression
RNF207,ENSG00000158286,RNF207,Gene Expression
ICMT,ENSG00000116237,ICMT,Gene Expression
ACOT7,ENSG00000097021,ACOT7,Gene Expression
ENSG00000271746,ENSG00000271746,ENSG00000271746,Gene Expression
ESPN,ENSG00000187017,ESPN,Gene Expression
NOL9,ENSG00000162408,NOL9,Gene Expression
ZBTB48,ENSG00000204859,ZBTB48,Gene Expression
KLHL21,ENSG00000162413,KLHL21,Gene Expression
PHF13,ENSG00000116273,PHF13,Gene Expression
THAP3,ENSG00000041988,THAP3,Gene Expression
DNAJC11,ENSG00000007923,DNAJC11,Gene Expression
CAMTA1-DT,ENSG00000237436,CAMTA1-DT,Gene Expression
CAMTA1,ENSG00000171735,CAMTA1,Gene Expression
VAMP3,ENSG00000049245,VAMP3,Gene Expression
PER3,ENSG00000049246,PER3,Gene Expression
ENSG00000236266,ENSG00000236266,ENSG00000236266,Gene Expression
TNFRSF9,ENSG00000049249,TNFRSF9,Gene Expression
PARK7,ENSG00000116288,PARK7,Gene Expression
ERRFI1,ENSG00000116285,ERRFI1,Gene Expression
RERE,ENSG00000142599,RERE,Gene Expression
ENO1,ENSG00000074800,ENO1,Gene Expression
ENO1-AS1,ENSG00000230679,ENO1-AS1,Gene Expression
H6PD,ENSG00000049239,H6PD,Gene Expression
SLC25A33,ENSG00000171612,SLC25A33,Gene Expression
TMEM201,ENSG00000188807,TMEM201,Gene Expression
PIK3CD,ENSG00000171608,PIK3CD,Gene Expression
PIK3CD-AS2,ENSG00000231789,PIK3CD-AS2,Gene Expression
CLSTN1,ENSG00000171603,CLSTN1,Gene Expression
CTNNBIP1,ENSG00000178585,CTNNBIP1,Gene Expression
LZIC,ENSG00000162441,LZIC,Gene Expression
NMNAT1,ENSG00000173614,NMNAT1,Gene Expression
UBE4B,ENSG00000130939,UBE4B,Gene Expression
KIF1B,ENSG00000054523,KIF1B,Gene Expression
PGD,ENSG00000142657,PGD,Gene Expression
CENPS,ENSG00000175279,CENPS,Gene Expression
DFFA,ENSG00000160049,DFFA,Gene Expression
PEX14,ENSG00000142655,PEX14,Gene Expression
TARDBP,ENSG00000120948,TARDBP,Gene Expression
SRM,ENSG00000116649,SRM,Gene Expression
EXOSC10,ENSG00000171824,EXOSC10,Gene Expression
EXOSC10-AS1,ENSG00000230337,EXOSC10-AS1,Gene Expression
MTOR,ENSG00000198793,MTOR,Gene Expression
UBIAD1,ENSG00000120942,UBIAD1,Gene Expression
LINC01647,ENSG00000235643,LINC01647,Gene Expression
FBXO2,ENSG00000116661,FBXO2,Gene Expression
FBXO44,ENSG00000132879,FBXO44,Gene Expression
MAD2L2,ENSG00000116670,MAD2L2,Gene Expression
FBXO6,ENSG00000116663,FBXO6,Gene Expression
AGTRAP,ENSG00000177674,AGTRAP,Gene Expression
MTHFR,ENSG00000177000,MTHFR,Gene Expression
CLCN6,ENSG00000011021,CLCN6,Gene Expression
ENSG00000285646,ENSG00000285646,ENSG00000285646,Gene Expression
KIAA2013,ENSG00000116685,KIAA2013,Gene Expression
PLOD1,ENSG00000083444,PLOD1,Gene Expression
MFN2,ENSG00000116688,MFN2,Gene Expression
MIIP,ENSG00000116691,MIIP,Gene Expression
TNFRSF8,ENSG00000120949,TNFRSF8,Gene Expression
TNFRSF1B,ENSG00000028137,TNFRSF1B,Gene Expression
VPS13D,ENSG00000048707,VPS13D,Gene Expression
DHRS3,ENSG00000162496,DHRS3,Gene Expression
PRDM2,ENSG00000116731,PRDM2,Gene Expression
KAZN,ENSG00000189337,KAZN,Gene Expression
KAZN-AS1,ENSG00000234593,KAZN-AS1,Gene Expression
ENSG00000287756,ENSG00000287756,ENSG00000287756,Gene Expression
TMEM51,ENSG00000171729,TMEM51,Gene Expression
FHAD1,ENSG00000142621,FHAD1,Gene Expression
EFHD2,ENSG00000142634,EFHD2,Gene Expression
CELA2A,ENSG00000142615,CELA2A,Gene Expression
CELA2B,ENSG00000215704,CELA2B,Gene Expression
CASP9,ENSG00000132906,CASP9,Gene Expression
DNAJC16,ENSG00000116138,DNAJC16,Gene Expression
DDI2,ENSG00000197312,DDI2,Gene Expression
PLEKHM2,ENSG00000116786,PLEKHM2,Gene Expression
UQCRHL,ENSG00000233954,UQCRHL,Gene Expression
SPEN-AS1,ENSG00000179743,SPEN-AS1,Gene Expression
SPEN,ENSG00000065526,SPEN,Gene Expression
ZBTB17,ENSG00000116809,ZBTB17,Gene Expression
ARHGEF19,ENSG00000142632,ARHGEF19,Gene Expression
CPLANE2,ENSG00000132881,CPLANE2,Gene Expression
FBXO42,ENSG00000037637,FBXO42,Gene Expression
SZRD1,ENSG00000055070,SZRD1,Gene Expression
NECAP2,ENSG00000157191,NECAP2,Gene Expression
CROCCP3,ENSG00000290842,CROCCP3,Gene Expression
ENSG00000261135,ENSG00000261135,ENSG00000261135,Gene Expression
NBPF1,ENSG00000219481,NBPF1,Gene Expression
CROCCP2,ENSG00000291072,CROCCP2,Gene Expression
CROCC,ENSG00000058453,CROCC,Gene Expression
ENSG00000290850,ENSG00000290850,ENSG00000290850,Gene Expression
ATP13A2,ENSG00000159363,ATP13A2,Gene Expression
SDHB,ENSG00000117118,SDHB,Gene Expression
RCC2,ENSG00000179051,RCC2,Gene Expression
ACTL8,ENSG00000117148,ACTL8,Gene Expression
ALDH4A1,ENSG00000159423,ALDH4A1,Gene Expression
UBR4,ENSG00000127481,UBR4,Gene Expression
EMC1-AS1,ENSG00000230424,EMC1-AS1,Gene Expression
EMC1,ENSG00000127463,EMC1,Gene Expression
MRTO4,ENSG00000053372,MRTO4,Gene Expression
AKR7A2,ENSG00000053371,AKR7A2,Gene Expression
SLC66A1,ENSG00000040487,SLC66A1,Gene Expression
CAPZB,ENSG00000077549,CAPZB,Gene Expression
MICOS10,ENSG00000173436,MICOS10,Gene Expression
TMCO4,ENSG00000162542,TMCO4,Gene Expression
OTUD3,ENSG00000169914,OTUD3,Gene Expression
PLA2G2C,ENSG00000187980,PLA2G2C,Gene Expression
UBXN10,ENSG00000162543,UBXN10,Gene Expression
CAMK2N1,ENSG00000162545,CAMK2N1,Gene Expression
MUL1,ENSG00000090432,MUL1,Gene Expression
PINK1,ENSG00000158828,PINK1,Gene Expression
DDOST,ENSG00000244038,DDOST,Gene Expression
HP1BP3,ENSG00000127483,HP1BP3,Gene Expression
EIF4G3,ENSG00000075151,EIF4G3,Gene Expression
ECE1,ENSG00000117298,ECE1,Gene Expression
NBPF3,ENSG00000142794,NBPF3,Gene Expression
RAP1GAP,ENSG00000076864,RAP1GAP,Gene Expression
USP48,ENSG00000090686,USP48,Gene Expression
HSPG2,ENSG00000142798,HSPG2,Gene Expression
LINC00339,ENSG00000218510,LINC00339,Gene Expression
CDC42,ENSG00000070831,CDC42,Gene Expression
ZBTB40,ENSG00000184677,ZBTB40,Gene Expression
KDM1A,ENSG00000004487,KDM1A,Gene Expression
LUZP1,ENSG00000169641,LUZP1,Gene Expression
LINC01355,ENSG00000261326,LINC01355,Gene Expression
HNRNPR,ENSG00000125944,HNRNPR,Gene Expression
ZNF436,ENSG00000125945,ZNF436,Gene Expression
ZNF436-AS1,ENSG00000249087,ZNF436-AS1,Gene Expression
ASAP3,ENSG00000088280,ASAP3,Gene Expression
E2F2,ENSG00000007968,E2F2,Gene Expression
ID3,ENSG00000117318,ID3,Gene Expression
RPL11,ENSG00000142676,RPL11,Gene Expression
ELOA-AS1,ENSG00000236810,ELOA-AS1,Gene Expression
ELOA,ENSG00000011007,ELOA,Gene Expression
PITHD1,ENSG00000057757,PITHD1,Gene Expression
LYPLA2,ENSG00000011009,LYPLA2,Gene Expression
GALE,ENSG00000117308,GALE,Gene Expression
HMGCL,ENSG00000117305,HMGCL,Gene Expression
FUCA1,ENSG00000179163,FUCA1,Gene Expression
PNRC2,ENSG00000189266,PNRC2,Gene Expression
SRSF10,ENSG00000188529,SRSF10,Gene Expression
STPG1,ENSG00000001460,STPG1,Gene Expression
NIPAL3,ENSG00000001461,NIPAL3,Gene Expression
RCAN3,ENSG00000117602,RCAN3,Gene Expression
SRRM1,ENSG00000133226,SRRM1,Gene Expression
CLIC4,ENSG00000169504,CLIC4,Gene Expression
SYF2,ENSG00000117614,SYF2,Gene Expression
ENSG00000284602,ENSG00000284602,ENSG00000284602,Gene Expression
RSRP1,ENSG00000117616,RSRP1,Gene Expression
RHD,ENSG00000187010,RHD,Gene Expression
TMEM50A,ENSG00000183726,TMEM50A,Gene Expression
RHCE,ENSG00000188672,RHCE,Gene Expression
MACO1,ENSG00000204178,MACO1,Gene Expression
LDLRAP1,ENSG00000157978,LDLRAP1,Gene Expression
SELENON,ENSG00000162430,SELENON,Gene Expression
ENSG00000228172,ENSG00000228172,ENSG00000228172,Gene Expression
MTFR1L,ENSG00000117640,MTFR1L,Gene Expression
AUNIP,ENSG00000127423,AUNIP,Gene Expression
ENSG00000236528,ENSG00000236528,ENSG00000236528,Gene Expression
PAQR7,ENSG00000182749,PAQR7,Gene Expression
STMN1,ENSG00000117632,STMN1,Gene Expression
PAFAH2,ENSG00000158006,PAFAH2,Gene Expression
TRIM63,ENSG00000158022,TRIM63,Gene Expression
PDIK1L,ENSG00000175087,PDIK1L,Gene Expression
FAM110D,ENSG00000197245,FAM110D,Gene Expression
ZNF593,ENSG00000142684,ZNF593,Gene Expression
CEP85,ENSG00000130695,CEP85,Gene Expression
SH3BGRL3,ENSG00000142669,SH3BGRL3,Gene Expression
UBXN11,ENSG00000158062,UBXN11,Gene Expression
CD52,ENSG00000169442,CD52,Gene Expression
CRYBG2,ENSG00000176092,CRYBG2,Gene Expression
DHDDS,ENSG00000117682,DHDDS,Gene Expression
HMGN2,ENSG00000198830,HMGN2,Gene Expression
RPS6KA1,ENSG00000117676,RPS6KA1,Gene Expression
ARID1A,ENSG00000117713,ARID1A,Gene Expression
PIGV,ENSG00000060642,PIGV,Gene Expression
ZDHHC18,ENSG00000204160,ZDHHC18,Gene Expression
SFN,ENSG00000175793,SFN,Gene Expression
GPN2,ENSG00000142751,GPN2,Gene Expression
GPATCH3,ENSG00000198746,GPATCH3,Gene Expression
NUDC,ENSG00000090273,NUDC,Gene Expression
KDF1,ENSG00000175707,KDF1,Gene Expression
TRNP1,ENSG00000253368,TRNP1,Gene Expression
TENT5B,ENSG00000158246,TENT5B,Gene Expression
SLC9A1,ENSG00000090020,SLC9A1,Gene Expression
WDTC1,ENSG00000142784,WDTC1,Gene Expression
TMEM222,ENSG00000186501,TMEM222,Gene Expression
SYTL1,ENSG00000142765,SYTL1,Gene Expression
MAP3K6,ENSG00000142733,MAP3K6,Gene Expression
GPR3,ENSG00000181773,GPR3,Gene Expression
WASF2,ENSG00000158195,WASF2,Gene Expression
ENSG00000237429,ENSG00000237429,ENSG00000237429,Gene Expression
AHDC1,ENSG00000126705,AHDC1,Gene Expression
IFI6,ENSG00000126709,IFI6,Gene Expression
FAM76A,ENSG00000009780,FAM76A,Gene Expression
STX12,ENSG00000117758,STX12,Gene Expression
PPP1R8,ENSG00000117751,PPP1R8,Gene Expression
THEMIS2,ENSG00000130775,THEMIS2,Gene Expression
RPA2,ENSG00000117748,RPA2,Gene Expression
XKR8,ENSG00000158156,XKR8,Gene Expression
EYA3,ENSG00000158161,EYA3,Gene Expression
DNAJC8,ENSG00000126698,DNAJC8,Gene Expression
ENSG00000290123,ENSG00000290123,ENSG00000290123,Gene Expression
ATP5IF1,ENSG00000130770,ATP5IF1,Gene Expression
SESN2,ENSG00000130766,SESN2,Gene Expression
MED18,ENSG00000130772,MED18,Gene Expression
PHACTR4,ENSG00000204138,PHACTR4,Gene Expression
RCC1,ENSG00000180198,RCC1,Gene Expression
SNHG3,ENSG00000242125,SNHG3,Gene Expression
TRNAU1AP,ENSG00000180098,TRNAU1AP,Gene Expression
SNHG12,ENSG00000197989,SNHG12,Gene Expression
TAF12,ENSG00000120656,TAF12,Gene Expression
TAF12-DT,ENSG00000229388,TAF12-DT,Gene Expression
GMEB1,ENSG00000162419,GMEB1,Gene Expression
ENSG00000289291,ENSG00000289291,ENSG00000289291,Gene Expression
YTHDF2,ENSG00000198492,YTHDF2,Gene Expression
EPB41,ENSG00000159023,EPB41,Gene Expression
SRSF4,ENSG00000116350,SRSF4,Gene Expression
MECR,ENSG00000116353,MECR,Gene Expression
MATN1,ENSG00000162510,MATN1,Gene Expression
MATN1-AS1,ENSG00000186056,MATN1-AS1,Gene Expression
ENSG00000287510,ENSG00000287510,ENSG00000287510,Gene Expression
LAPTM5,ENSG00000162511,LAPTM5,Gene Expression
SDC3,ENSG00000162512,SDC3,Gene Expression
PUM1,ENSG00000134644,PUM1,Gene Expression
SNRNP40,ENSG00000060688,SNRNP40,Gene Expression
ZCCHC17,ENSG00000121766,ZCCHC17,Gene Expression
SERINC2,ENSG00000168528,SERINC2,Gene Expression
LINC01226,ENSG00000284543,LINC01226,Gene Expression
TINAGL1,ENSG00000142910,TINAGL1,Gene Expression
PEF1,ENSG00000162517,PEF1,Gene Expression
SPOCD1,ENSG00000134668,SPOCD1,Gene Expression
PTP4A2,ENSG00000184007,PTP4A2,Gene Expression
KHDRBS1,ENSG00000121774,KHDRBS1,Gene Expression
TMEM39B,ENSG00000121775,TMEM39B,Gene Expression
KPNA6,ENSG00000025800,KPNA6,Gene Expression
TXLNA,ENSG00000084652,TXLNA,Gene Expression
CCDC28B,ENSG00000160050,CCDC28B,Gene Expression
IQCC,ENSG00000160051,IQCC,Gene Expression
TMEM234,ENSG00000160055,TMEM234,Gene Expression
EIF3I,ENSG00000084623,EIF3I,Gene Expression
HDAC1,ENSG00000116478,HDAC1,Gene Expression
MARCKSL1,ENSG00000175130,MARCKSL1,Gene Expression
TSSK3,ENSG00000162526,TSSK3,Gene Expression
FAM229A,ENSG00000225828,FAM229A,Gene Expression
BSDC1,ENSG00000160058,BSDC1,Gene Expression
ZBTB8OS,ENSG00000176261,ZBTB8OS,Gene Expression
RBBP4,ENSG00000162521,RBBP4,Gene Expression
SYNC,ENSG00000162520,SYNC,Gene Expression
KIAA1522,ENSG00000162522,KIAA1522,Gene Expression
YARS1,ENSG00000134684,YARS1,Gene Expression
S100PBP,ENSG00000116497,S100PBP,Gene Expression
TMEM54,ENSG00000121900,TMEM54,Gene Expression
RNF19B,ENSG00000116514,RNF19B,Gene Expression
AK2,ENSG00000004455,AK2,Gene Expression
TRIM62,ENSG00000116525,TRIM62,Gene Expression
PHC2,ENSG00000134686,PHC2,Gene Expression
PHC2-AS1,ENSG00000233246,PHC2-AS1,Gene Expression
ZSCAN20,ENSG00000121903,ZSCAN20,Gene Expression
SMIM12,ENSG00000163866,SMIM12,Gene Expression
TMEM35B,ENSG00000243749,TMEM35B,Gene Expression
ZMYM6,ENSG00000163867,ZMYM6,Gene Expression
ZMYM1,ENSG00000197056,ZMYM1,Gene Expression
SFPQ,ENSG00000116560,SFPQ,Gene Expression
ZMYM4,ENSG00000146463,ZMYM4,Gene Expression
KIAA0319L,ENSG00000142687,KIAA0319L,Gene Expression
NCDN,ENSG00000020129,NCDN,Gene Expression
PSMB2,ENSG00000126067,PSMB2,Gene Expression
C1orf216,ENSG00000142686,C1orf216,Gene Expression
CLSPN,ENSG00000092853,CLSPN,Gene Expression
AGO4,ENSG00000134698,AGO4,Gene Expression
AGO1,ENSG00000092847,AGO1,Gene Expression
AGO3,ENSG00000126070,AGO3,Gene Expression
ADPRS,ENSG00000116863,ADPRS,Gene Expression
TRAPPC3,ENSG00000054116,TRAPPC3,Gene Expression
MAP7D1,ENSG00000116871,MAP7D1,Gene Expression
THRAP3,ENSG00000054118,THRAP3,Gene Expression
SH3D21,ENSG00000214193,SH3D21,Gene Expression
EVA1B,ENSG00000142694,EVA1B,Gene Expression
STK40,ENSG00000196182,STK40,Gene Expression
LSM10,ENSG00000181817,LSM10,Gene Expression
MRPS15,ENSG00000116898,MRPS15,Gene Expression
ZC3H12A-DT,ENSG00000233621,ZC3H12A-DT,Gene Expression
ZC3H12A,ENSG00000163874,ZC3H12A,Gene Expression
MEAF6,ENSG00000163875,MEAF6,Gene Expression
SNIP1,ENSG00000163877,SNIP1,Gene Expression
DNALI1,ENSG00000163879,DNALI1,Gene Expression
GNL2,ENSG00000134697,GNL2,Gene Expression
C1orf109,ENSG00000116922,C1orf109,Gene Expression
CDCA8,ENSG00000134690,CDCA8,Gene Expression
MANEAL,ENSG00000185090,MANEAL,Gene Expression
YRDC,ENSG00000196449,YRDC,Gene Expression
C1orf122,ENSG00000197982,C1orf122,Gene Expression
MTF1,ENSG00000188786,MTF1,Gene Expression
INPP5B,ENSG00000204084,INPP5B,Gene Expression
SF3A3,ENSG00000183431,SF3A3,Gene Expression
FHL3,ENSG00000183386,FHL3,Gene Expression
UTP11,ENSG00000183520,UTP11,Gene Expression
RRAGC,ENSG00000116954,RRAGC,Gene Expression
RRAGC-DT,ENSG00000228436,RRAGC-DT,Gene Expression
MYCBP,ENSG00000214114,MYCBP,Gene Expression
AKIRIN1,ENSG00000174574,AKIRIN1,Gene Expression
NDUFS5,ENSG00000168653,NDUFS5,Gene Expression
MACF1,ENSG00000127603,MACF1,Gene Expression
PABPC4,ENSG00000090621,PABPC4,Gene Expression
PPIE,ENSG00000084072,PPIE,Gene Expression
ENSG00000284719,ENSG00000284719,ENSG00000284719,Gene Expression
TRIT1,ENSG00000043514,TRIT1,Gene Expression
MYCL,ENSG00000116990,MYCL,Gene Expression
CAP1,ENSG00000131236,CAP1,Gene Expression
PPT1,ENSG00000131238,PPT1,Gene Expression
RLF,ENSG00000117000,RLF,Gene Expression
ZMPSTE24-DT,ENSG00000259943,ZMPSTE24-DT,Gene Expression
ZMPSTE24,ENSG00000084073,ZMPSTE24,Gene Expression
SMAP2,ENSG00000084070,SMAP2,Gene Expression
ZFP69B,ENSG00000187801,ZFP69B,Gene Expression
ZFP69,ENSG00000187815,ZFP69,Gene Expression
EXO5-DT,ENSG00000238287,EXO5-DT,Gene Expression
ZNF684,ENSG00000117010,ZNF684,Gene Expression
ENSG00000237899,ENSG00000237899,ENSG00000237899,Gene Expression
NFYC-AS1,ENSG00000272145,NFYC-AS1,Gene Expression
NFYC,ENSG00000066136,NFYC,Gene Expression
CITED4,ENSG00000179862,CITED4,Gene Expression
ENSG00000229528,ENSG00000229528,ENSG00000229528,Gene Expression
CTPS1,ENSG00000171793,CTPS1,Gene Expression
SCMH1,ENSG00000010803,SCMH1,Gene Expression
HIVEP3,ENSG00000127124,HIVEP3,Gene Expression
FOXJ3,ENSG00000198815,FOXJ3,Gene Expression
PPCS,ENSG00000127125,PPCS,Gene Expression
CCDC30,ENSG00000186409,CCDC30,Gene Expression
PPIH,ENSG00000171960,PPIH,Gene Expression
ENSG00000285728,ENSG00000285728,ENSG00000285728,Gene Expression
YBX1,ENSG00000065978,YBX1,Gene Expression
P3H1,ENSG00000117385,P3H1,Gene Expression
C1orf50,ENSG00000164008,C1orf50,Gene Expression
TMEM269,ENSG00000274386,TMEM269,Gene Expression
SVBP,ENSG00000177868,SVBP,Gene Expression
ERMAP,ENSG00000164010,ERMAP,Gene Expression
ZNF691-DT,ENSG00000228192,ZNF691-DT,Gene Expression
ZNF691,ENSG00000164011,ZNF691,Gene Expression
SLC2A1,ENSG00000117394,SLC2A1,Gene Expression
SLC2A1-DT,ENSG00000227533,SLC2A1-DT,Gene Expression
EBNA1BP2,ENSG00000117395,EBNA1BP2,Gene Expression
TIE1,ENSG00000066056,TIE1,Gene Expression
CDC20-DT,ENSG00000234694,CDC20-DT,Gene Expression
CDC20,ENSG00000117399,CDC20,Gene Expression
ELOVL1,ENSG00000066322,ELOVL1,Gene Expression
ENSG00000288772,ENSG00000288772,ENSG00000288772,Gene Expression
MED8,ENSG00000159479,MED8,Gene Expression
SZT2,ENSG00000198198,SZT2,Gene Expression
HYI,ENSG00000178922,HYI,Gene Expression
PTPRF,ENSG00000142949,PTPRF,Gene Expression
KDM4A,ENSG00000066135,KDM4A,Gene Expression
KDM4A-AS1,ENSG00000236200,KDM4A-AS1,Gene Expression
ST3GAL3,ENSG00000126091,ST3GAL3,Gene Expression
ENSG00000288573,ENSG00000288573,ENSG00000288573,Gene Expression
IPO13,ENSG00000117408,IPO13,Gene Expression
DPH2,ENSG00000132768,DPH2,Gene Expression
ATP6V0B,ENSG00000117410,ATP6V0B,Gene Expression
B4GALT2,ENSG00000117411,B4GALT2,Gene Expression
CCDC24,ENSG00000159214,CCDC24,Gene Expression
SLC6A9,ENSG00000196517,SLC6A9,Gene Expression
ENSG00000230615,ENSG00000230615,ENSG00000230615,Gene Expression
DMAP1,ENSG00000178028,DMAP1,Gene Expression
ERI3,ENSG00000117419,ERI3,Gene Expression
RNF220,ENSG00000187147,RNF220,Gene Expression
TMEM53,ENSG00000126106,TMEM53,Gene Expression
KIF2C,ENSG00000142945,KIF2C,Gene Expression
RPS8,ENSG00000142937,RPS8,Gene Expression
PLK3,ENSG00000173846,PLK3,Gene Expression
PTCH2,ENSG00000117425,PTCH2,Gene Expression
EIF2B3,ENSG00000070785,EIF2B3,Gene Expression
HECTD3,ENSG00000126107,HECTD3,Gene Expression
UROD,ENSG00000126088,UROD,Gene Expression
ZSWIM5,ENSG00000162415,ZSWIM5,Gene Expression
MUTYH,ENSG00000132781,MUTYH,Gene Expression
TOE1,ENSG00000132773,TOE1,Gene Expression
TESK2,ENSG00000070759,TESK2,Gene Expression
CCDC163,ENSG00000280670,CCDC163,Gene Expression
MMACHC,ENSG00000132763,MMACHC,Gene Expression
PRDX1,ENSG00000117450,PRDX1,Gene Expression
AKR1A1,ENSG00000117448,AKR1A1,Gene Expression
ENSG00000289407,ENSG00000289407,ENSG00000289407,Gene Expression
NASP,ENSG00000132780,NASP,Gene Expression
GPBP1L1,ENSG00000159592,GPBP1L1,Gene Expression
TMEM69,ENSG00000159596,TMEM69,Gene Expression
IPP,ENSG00000197429,IPP,Gene Expression
MAST2,ENSG00000086015,MAST2,Gene Expression
PIK3R3,ENSG00000117461,PIK3R3,Gene Expression
POMGNT1,ENSG00000085998,POMGNT1,Gene Expression
LURAP1,ENSG00000171357,LURAP1,Gene Expression
RAD54L,ENSG00000085999,RAD54L,Gene Expression
LRRC41,ENSG00000132128,LRRC41,Gene Expression
UQCRH,ENSG00000173660,UQCRH,Gene Expression
NSUN4,ENSG00000117481,NSUN4,Gene Expression
ENSG00000291138,ENSG00000291138,ENSG00000291138,Gene Expression
DMBX1,ENSG00000197587,DMBX1,Gene Expression
MKNK1,ENSG00000079277,MKNK1,Gene Expression
MOB3C,ENSG00000142961,MOB3C,Gene Expression
ATPAF1,ENSG00000123472,ATPAF1,Gene Expression
EFCAB14,ENSG00000159658,EFCAB14,Gene Expression
CYP4A22-AS1,ENSG00000225506,CYP4A22-AS1,Gene Expression
LINC00853,ENSG00000224805,LINC00853,Gene Expression
TAL1,ENSG00000162367,TAL1,Gene Expression
STIL,ENSG00000123473,STIL,Gene Expression
CMPK1,ENSG00000162368,CMPK1,Gene Expression
FOXD2-AS1,ENSG00000237424,FOXD2-AS1,Gene Expression
FAF1,ENSG00000185104,FAF1,Gene Expression
CDKN2C,ENSG00000123080,CDKN2C,Gene Expression
RNF11,ENSG00000123091,RNF11,Gene Expression
EPS15,ENSG00000085832,EPS15,Gene Expression
EPS15-AS1,ENSG00000227070,EPS15-AS1,Gene Expression
OSBPL9,ENSG00000117859,OSBPL9,Gene Expression
NRDC,ENSG00000078618,NRDC,Gene Expression
RAB3B,ENSG00000169213,RAB3B,Gene Expression
TXNDC12,ENSG00000117862,TXNDC12,Gene Expression
KTI12,ENSG00000198841,KTI12,Gene Expression
BTF3L4,ENSG00000134717,BTF3L4,Gene Expression
ZFYVE9,ENSG00000157077,ZFYVE9,Gene Expression
